Jahr_von;Zeit_von;Waermepumpe[in kWh];Elektroauto[Tagesnormiert];ELKW[Tagesnormiert]
05.01.2020;04:15:00;0,163690276;0,004293363;0,016666667
05.01.2020;04:30:00;0,163968451;0,004574434;0,016666667
05.01.2020;04:45:00;0,164418017;0,005438622;0,016666667
05.01.2020;05:00:00;0,164514866;0,005677035;0,016666667
05.01.2020;05:15:00;0,164099933;0,006252417;0,016666667
05.01.2020;05:30:00;0,164783059;0,007157887;0,016666667
05.01.2020;05:45:00;0,165025107;0,007633335;0,016666667
05.01.2020;06:00:00;0,165153586;0,008616533;0,016666667
05.01.2020;06:15:00;0,166318729;0,010044894;0,016666667
05.01.2020;06:30:00;0,166185256;0,011006028;0,016666667
05.01.2020;06:45:00;0,166378434;0,011311745;0,016666667
05.01.2020;07:00:00;0,167615383;0,012076903;0,016666667
05.01.2020;07:15:00;0,168048944;0,012076903;0
05.01.2020;07:30:00;0,167582226;0,012110123;0
05.01.2020;07:45:00;0,166912945;0,011667574;0
05.01.2020;08:00:00;0,16582756;0,011210801;0
05.01.2020;08:15:00;0,165306955;0,010743934;0
05.01.2020;08:30:00;0,165471135;0,010280095;0
05.01.2020;08:45:00;0,164562693;0,010039847;0
05.01.2020;09:00:00;0,164591346;0,010087566;0
05.01.2020;09:15:00;0,163858714;0,010164651;0
05.01.2020;09:30:00;0,162129741;0,010324327;0
05.01.2020;09:45:00;0,161086424;0,010324327;0
05.01.2020;10:00:00;0,159723818;0,010476661;0
05.01.2020;10:15:00;0,157890529;0,010553745;0
05.01.2020;10:30:00;0,156200845;0,010755634;0
05.01.2020;10:45:00;0,154988397;0,011236037;0
05.01.2020;11:00:00;0,152776535;0,011634767;0
05.01.2020;11:15:00;0,150426315;0,012094064;0
05.01.2020;11:30:00;0,148567807;0,012477193;0
05.01.2020;11:45:00;0,145656382;0,012273469;0,016666667
05.01.2020;12:00:00;0,144238837;0,012027532;0,016666667
05.01.2020;12:15:00;0,143413588;0,011897222;0,016666667
05.01.2020;12:30:00;0,141724199;0,011897222;0
05.01.2020;12:45:00;0,141138384;0,011897222;0
05.01.2020;13:00:00;0,140984106;0,011897222;0
05.01.2020;13:15:00;0,139841799;0,011794443;0
05.01.2020;13:30:00;0,139317933;0,011526481;0
05.01.2020;13:45:00;0,138975011;0,011480598;0
05.01.2020;14:00:00;0,138923375;0,011275038;0
05.01.2020;14:15:00;0,13885394;0,011275038;0
05.01.2020;14:30:00;0,138255565;0,010990559;0
05.01.2020;14:45:00;0,138315074;0,010623489;0
